,DATE_TIME_CST,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_DESCRIPTION,WEATHER_ICON,TEMPERATURE,HUMIDITY_PERCENT,VISIBILITY_METERS,WIND_SPEED_MPH,DANGER_LEVELS
95,04-24-2022 19:38:49,32.9336,-96.7,201,thunderstorm with rain,11d,66.74,86,4828,16.11,MODERATE
96,04-24-2022 19:38:50,32.9333,-96.683,201,thunderstorm with rain,11d,67.06,86,4828,16.11,MODERATE
97,04-24-2022 19:38:52,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
98,04-24-2022 19:38:53,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
99,04-24-2022 19:38:54,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
100,04-24-2022 19:38:56,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
101,04-24-2022 19:38:57,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
102,04-24-2022 19:39:01,32.9354,-96.682,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
103,04-24-2022 19:39:02,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
104,04-24-2022 19:39:04,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
105,04-24-2022 19:39:05,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
106,04-24-2022 19:39:06,32.9358,-96.712,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
107,04-24-2022 19:39:09,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
108,04-24-2022 19:39:13,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
109,04-24-2022 19:39:14,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
110,04-24-2022 19:39:15,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
111,04-24-2022 19:39:17,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
112,04-24-2022 19:39:18,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
113,04-24-2022 19:39:19,32.9363,-96.742,201,thunderstorm with rain,11d,66.67,87,4828,16.11,MODERATE
114,04-24-2022 19:39:20,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
115,04-24-2022 19:39:22,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
116,04-24-2022 19:39:23,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
117,04-24-2022 19:39:24,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
118,04-24-2022 19:39:25,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
119,04-24-2022 19:39:27,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
120,04-24-2022 19:39:28,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
121,04-24-2022 19:39:29,32.935,-96.715,201,thunderstorm with rain,11d,66.7,86,4828,16.11,MODERATE
122,04-24-2022 19:39:30,32.9351,-96.748,201,thunderstorm with rain,11d,66.65,86,4828,16.11,MODERATE
