"US0075 , US , 32.9600 , -96.728"
"US0075 , US , 32.9587 , -96.729"
"US0075 , US , 32.9579 , -96.730"
"US0075 , US , 32.9573 , -96.730"
"US0075 , US , 32.9546 , -96.732"
"US0075 , US , 32.9521 , -96.733"
"US0075 , US , 32.9520 , -96.733"
"US0075 , US , 32.9510 , -96.734"
"US0075 , US , 32.9604 , -96.728"
"US0075 , US , 32.9408 , -96.744"
"US0075 , US , 32.9389 , -96.747"
"US0075 , US , 32.9443 , -96.740"
"US0075 , US , 32.9932 , -96.709"
"US0075 , US , 32.9899 , -96.710"
"US0075 , US , 32.9491 , -96.735"
"US0075 , US , 32.9481 , -96.736"
"US0075 , US , 32.9470 , -96.737"
"US0075 , US , 32.9464 , -96.738"
"SH0190 , SH , 33.0033 , -96.701"
"SH0190 , SH , 33.0031 , -96.700"
"SH0190 , SH , 33.0031 , -96.699"
"SH0190 , SH , 33.0033 , -96.719"
"SH0190 , SH , 32.9999 , -96.756"
"SH0190 , SH , 33.0002 , -96.755"
"SH0190 , SH , 33.0011 , -96.753"
"SH0190 , SH , 33.0017 , -96.751"
"SH0190 , SH , 33.0022 , -96.750"
"US0075 , US , 32.9396 , -96.747"
"US0075 , US , 32.9394 , -96.747"
"SH0190 , SH , 32.9858 , -96.666"
"SH0190 , SH , 32.9850 , -96.666"
"US0075 , US , 32.9849 , -96.712"
"US0075 , US , 32.9838 , -96.712"
"US0075 , US , 32.9951 , -96.709"
"US0075 , US , 32.9945 , -96.710"
"US0075 , US , 32.9940 , -96.710"
"US0075 , US , 32.9686 , -96.720"
"US0075 , US , 32.9680 , -96.721"
"US0075 , US , 32.9678 , -96.721"
"US0075 , US , 32.9674 , -96.721"
"US0075 , US , 32.9660 , -96.722"
"US0075 , US , 32.9648 , -96.723"
"US0075 , US , 32.9640 , -96.724"
"US0075 , US , 32.9636 , -96.725"
"US0075 , US , 32.9634 , -96.725"
"US0075 , US , 32.9629 , -96.725"
"US0075 , US , 32.9622 , -96.726"
"US0075 , US , 32.9598 , -96.729"
"US0075 , US , 32.9584 , -96.730"
"US0075 , US , 32.9578 , -96.730"
"US0075 , US , 32.9577 , -96.730"
"US0075 , US , 32.9570 , -96.731"
"US0075 , US , 32.9864 , -96.711"
