"US0075 , US , 32.97506094500005 , -96.71618842799995"
"US0075 , US , 32.95012715300004 , -96.73477699399996"
"US0075 , US , 32.949448852000046 , -96.73520527899996"
"US0075 , US , 32.948660292000056 , -96.73570073899998"
"US0075 , US , 32.94822755200005 , -96.73608450899997"
"US0075 , US , 32.94780588200007 , -96.73644844899997"
"US0075 , US , 32.94751654100003 , -96.73669221899996"
"US0075 , US , 32.94740809100006 , -96.73677952899999"
"US0075 , US , 32.94721358100003 , -96.73694359899997"
"US0075 , US , 32.94710237100003 , -96.73705013899996"
"US0075 , US , 32.94666441100003 , -96.73747458899999"
"US0075 , US , 32.94619418100007 , -96.73795100999996"
"US0075 , US , 32.94580709100006 , -96.73837847999994"
"US0075 , US , 32.945574331000046 , -96.73863740999997"
"US0075 , US , 32.94523587000003 , -96.73904383099995"
"US0075 , US , 32.94427696500003 , -96.74024467899994"
"US0075 , US , 32.94353871100003 , -96.74117120999995"
"US0075 , US , 32.94209488600006 , -96.74296837799994"
"US0075 , US , 33.00396950700008 , -96.70803513299995"
"US0075 , US , 33.00384031300007 , -96.70805548499999"
"US0075 , US , 33.003335003000075 , -96.70813499499997"
"US0075 , US , 33.00136554300008 , -96.70844484499997"
"US0075 , US , 33.000195415000064 , -96.70862531999995"
"US0075 , US , 32.939753164000024 , -96.74591670299998"
"US0075 , US , 32.93872502900007 , -96.74721331099994"
"US0075 , US , 32.93848593900003 , -96.74751145099998"
"US0075 , US , 32.938457836000055 , -96.74754655999999"
"US0075 , US , 32.98549505600005 , -96.711445573"
"US0075 , US , 32.98548819000007 , -96.71144834499995"
"US0075 , US , 32.98317729900003 , -96.71253314499995"
"US0075 , US , 32.978757518000066 , -96.71456105599998"
"US0075 , US , 32.97731740800003 , -96.71521155599999"
"US0075 , US , 32.97618986800006 , -96.71573088599996"
"US0075 , US , 32.97523612800006 , -96.71618841599997"
"US0075 , US , 32.974494367000034 , -96.71663998599996"
"US0075 , US , 32.973176247000026 , -96.71746638599996"
"US0075 , US , 32.97258831700003 , -96.71785578599997"
"US0075 , US , 32.97105841700005 , -96.71881723599995"
"US0075 , US , 32.96768290600005 , -96.72098024699994"
"US0075 , US , 32.96701023600008 , -96.72137036699996"
"US0075 , US , 32.966364346000034 , -96.72183266699994"
"US0075 , US , 32.96572099600007 , -96.72239082699997"
"US0075 , US , 32.96468030500006 , -96.72332406699996"
"US0075 , US , 32.963795265000044 , -96.72426266699995"
"US0075 , US , 32.962841765000064 , -96.72533128699996"
"US0075 , US , 32.960767831000055 , -96.72764696399997"
"US0075 , US , 32.94522564500005 , -96.73905610899999"
"US0075 , US , 32.94518781100004 , -96.73910153999998"
"US0075 , US , 32.94427696500003 , -96.74024467899994"
